Chainage,Pipe_No.,Heat_No.,Coating _No.,Thk_mm,Stringing_Length_m,Actual_Length_m,Str_Rpt,Str_Date,Bend_Rpt,Bend_Date,Bend_Deg,Bend_Type,CC _Rpt,CC_Date,Weld_Line_No.,Weld_KM,Weld_Pre_Fix,Weld_Joint_No,weld_Rpt,weld _Date,WPS_no,RT_Rpt,RT_Date,Weld_Repair_Result,Weld_Repair_Rpt,Weld_repair_Date,UT_Rpt,UT_Date,JC_Rpt,JC_Date,Remarks
10059.65,L12306497,A262726,B1E01379,9.53,12.13,12.13,24,20.10.2023,,,,,,,A,KM10,M,5,27,23.10.2023,1,167,27.10.2023,ACC,,,,,29,30.12.2023,
10071.78,L12308081,A161017,B1E02065,9.53,11.8,11.8,24,20.10.2023,,,,,,,A,KM10,M,6,27,23.10.2023,1,167,27.10.2023,ACC,,,,,29,30.12.2023,
10083.58,L12308285,A261016,B1E02558,9.53,11.81,11.81,24,20.10.2023,,,,,,,A,KM10,M,7,27,23.10.2023,1,"167
179","27.10.2023
29.10.2023","REP
ACC",5,28.10.2023,9,21.11.2023,29,30.12.2023,
10095.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10095.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10095.39,L12305658,A162724,B1E02659,9.53,11.41,11.41,44,02.01.2024,,,,,,,,,,,,,,,,,,,,,,,
10106.8,L12306486,A262735,B1E01356,9.53,12.14,12.14,44,02.01.2024,,,,,,,A,KM10,FT,9:00 AM,31,02.01.2024,2,247,05.01.2024,ACC,,,,,33,09.01.2024,
10118.94,L12306546,A262726,B1E01233,9.53,12.14,12.14,44,02.01.2024,,,,,,,A,KM10,FT,09 B,31,02.01.2024,2,247,05.01.2024,ACC,,,,,33,09.01.2024,
10131.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10120,L12307922,A161009,B1E01752,9.53,12.11,12.11,25,23.10.2023,,,,,,,,,,,,,,,,,,,,,,,
10132.11,L12307917,A261018,B1E01728,9.53,11.86,11.86,25,23.10.2023,,,,,,,A,KM10,M,11,28,25.10.2023,1,174,28.10.2023,ACC,,,,,28,29.12.2023,
10143.97,L12307855,A161007,B1E01870,9.53,11.83,11.83,25,23.10.2023,,,,,,,A,KM10,M,12,28,25.10.2023,1,174,28.10.2023,ACC,,,,,28,29.12.2023,
10155.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L12307548,A161004,B1E02213,9.53,11.85,11.85,24,20.10.2023,,,,,,,,,,,,,,,,,,,,,,,
,L12306632,A262735,B1E01350,9.53,12.13,12.13,24,20.10.2023,,,,,,,A,KM10,M,15,26,22.10.2023,1,167,27.10.2023,ACC,,,,,27,28.12.2023,
,L12306658,A262733,B1E01349,9.53,12.14,12.14,24,20.10.2023,,,,,,,A,KM10,M,16,26,22.10.2023,1,168,27.10.2023,ACC,,,,,27,28.12.2023,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L12306609,A162736,B1E01394,9.53,12.14,12.14,51,21.01.2024,2,13.01.2024,7,HR,,,,,,,,,,,,,,,,,,,
,L12306692,A262733,B1E01440,9.53,12.14,12.14,51,21.01.2024,2,13.01.2024,7,HL,,,A,KM10,FT,20,40,22.01.2024,2,278,23.01.2024,ACC,,,,,36,27.01.2024,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L12306505,A262725,B1E01334,9.53,12.14,9.14,23,18.10.2023,,,,,,,,,,,,,,,,,,,,,,,
,L12305869,A162736,B1E02700,9.53,12.14,12.14,23,18.10.2023,,,,,,,A,KM10,M,22,25,20.10.2023,1,165,24.10.2023,ACC,,,,,26,27.12.2023,
,L12306631,A262735,B1E01344,9.53,12.14,12.14,23,18.10.2023,,,,,,,A,KM10,M,23,25,20.10.2023,1,165,24.10.2023,ACC,,,,,26,27.12.2023,
,L12307525,A161004,B1E02406,9.53,11.85,11.85,23,18.10.2023,,,,,,,A,KM10,M,24,25,20.10.2023,1,165,24.10.2023,ACC,,,,,26,27.12.2023,
,L12306647,A162732,B1E01317,9.53,12.14,12.14,52,23.01.2024,1,12.01.2024,13,HR,,,A,KM10,FT,25,41,23.01.2024,2,278,23.01.2024,ACC,,,,,36,27.01.2024,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10312,L12307727,A161009,B1E02075,9.53,11.77,11.77,23,18.10.2023,,,,,,,,,,,,,,,,,,,,,,,
