Chainage,Pipe_No.,Heat_No.,Coating _No.,Thk_mm,Stringing_Length_m,Actual_Length_m,Str_Rpt,Str_Date,Bend_Rpt,Bend_Date,Bend_Deg,Bend_Type,CC _Rpt,CC_Date,Weld_Line_No.,Weld_KM,Weld_Pre_Fix,Weld_Joint_No,weld_Rpt,weld _Date,WPS_no,RT_Rpt,RT_Date,Weld_Repair_Result,Weld_Repair_Rpt,Weld_repair_Date,UT_Rpt,UT_Date,JC_Rpt,JC_Date,Remarks
,L12308011,A161007,B1E02110,9.53,11.86,11.86,32,12.12.2023,,,,,19,19.10.2023,A,KM13,FT,28,20,17.12.2023,2,213,17.12.2023,ACC,,,,,24,21.12.2023,CONCRETE JOINT
,L12307599,A261012,B1E02324,9.53,12.01,12.01,31,27.11.2023,,,,,18,18.10.2023,A,KM13,FT,29,19,14.12.2023,2,210,15.12.2023,ACC,,,,,24,21.12.2023,CONCRETE JOINT
,L12306917,A162732,B1E01488,9.53,12.14,12.14,30,25.11.2023,,,,,19,19.10.2023,A,KM13,FT,30,18,28.11.2023,2,207,01.12.2023,ACC,,,,,24,21.12.2023,CONCRETE JOINT
,L12307656,A261014,B1E02282,9.53,11.78,11.78,29,23.11.2023,,,,,16,16.10.2023,A,KM13,FT,31,17,26.11.2023,2,196,26.11.2023,ACC,,,,,23,27.11.2023,CONCRETE JOINT
,L12307768,A161017,B1E02226,9.53,11.87,11.87,28,20.11.2023,,,,,8,06.10.2023,A,KM13,FT,32,16,24.11.2023,2,192,24.11.2023,ACC,,,,,23,27.11.2023,CONCRETE JOINT
,L12307607,A261012,B1E02373,9.53,11.91,11.91,28,20.11.2023,,,,,3,30.09.2023,A,KM13,FT,33,15,22.11.2023,2,190,22.11.2023,ACC,,,,,23,27.11.2023,CONCRETE JOINT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L12308061,A161017,B1E02490,9.53,11.87,11.87,10,19.09.2023,,,,,,,,,,,,,,,,,,,,,,,
,L12307166,A261008,B1E01312,9.53,11.76,11.76,9,19.09.2023,,,,,,,A,KM14,M,10,11,20.09.2023,1,79,22.09.2023,ACC,,,,,16,21.10.2023,
,L12307641,A162736,B1E02334,9.53,12.07,12.07,9,19.09.2023,,,,,,,A,KM14,M,11,10,19.09.2023,1,79,22.09.2023,ACC,,,,,16,21.10.2023,
,L12307042,A261008,B1E01300,9.53,11.97,11.97,9,19.09.2023,,,,,,,A,KM14,M,12,10,19.09.2023,1,79,22.09.2023,ACC,,,,,16,21.10.2023,
,L12305946,A162730,B1E01318,9.53,12.14,12.14,9,19.09.2023,,,,,,,A,KM14,M,13,10,19.09.2023,1,79,22.09.2023,ACC,,,,,16,21.10.2023,
,L12306468,A262731,B1E01304,9.53,12.13,12.13,9,19.09.2023,,,,,,,A,KM14,M,14,10,19.09.2023,1,79,22.09.2023,ACC,,,,,16,21.10.2023,
,L12307913,A261018,B1E01802,9.53,11.86,11.86,9,19.09.2023,,,,,,,A,KM14,M,15,10,19.09.2023,1,80,22.09.2023,ACC,,,,,15,20.10.2023,
,L12305903,A162724,B1E02686,9.53,12.14,12.14,9,19.09.2023,,,,,,,A,KM14,M,16,10,19.09.2023,1,80,22.09.2023,ACC,,,,,15,20.10.2023,
,L12305981,A262725,B1E01295,9.53,11.77,11.77,9,19.09.2023,,,,,,,A,KM14,M,17,10,19.09.2023,1,80,22.09.2023,ACC,,,,,15,20.10.2023,
,L12306391,A162730,B1E01289,9.53,12.14,12.14,9,19.09.2023,,,,,,,A,KM14,M,18,10,19.09.2023,1,80,22.09.2023,ACC,,,,,15,20.10.2023,
,L12306476,A262726,B1E01287,9.53,12.14,12.14,9,19.09.2023,,,,,,,A,KM14,M,19,10,19.09.2023,1,80,22.09.2023,ACC,,,,,15,20.10.2023,
,L12307746,A161009,B1E01778,9.53,11.82,11.82,9,19.09.2023,,,,,,,A,KM14,M,20,10,19.09.2023,1,81,22.09.2023,ACC,,,,,14,19.10.2023,
,L12305985,A162729,B1E01309,9.53,12.08,12.08,9,19.09.2023,,,,,,,A,KM14,M,21,10,19.09.2023,1,81,22.09.2023,ACC,,,,,14,19.10.2023,
,L12307959,A261018,B1E01709,9.53,11.94,11.94,9,19.09.2023,,,,,,,A,KM14,M,22,10,19.09.2023,1,81,22.09.2023,ACC,,,,,14,19.10.2023,
,L12308275,A261016,B1E02679,9.53,11.95,11.95,9,19.09.2023,,,,,,,A,KM14,M,23,10,19.09.2023,1,81,22.09.2023,ACC,,,,,14,19.10.2023,
,L12306474,A262726,B1E01279,9.53,12.14,12.14,9,19.09.2023,,,,,,,A,KM14,M,24,10,19.09.2023,1,81,22.09.2023,ACC,,,,,14,19.10.2023,
,L12306231,A262740,B1E00087,9.53,12.14,12.14,8,09.09.2023,,,,,,,A,KM14,M,25,10,19.09.2023,1,"82
106","22.09.2023
29.09.2023","REP
ACC",3,28.09.2023,2,03.10.2023,14,19.10.2023,
,L12307051,A261020,B1E00417,9.53,11.96,11.96,8,09.09.2023,,,,,,,A,KM14,M,26,9,11.09.2023,1,53,14.09.2023,ACC,,,,,14,19.10.2023,
,L12306504,A262731,B1E01235,9.53,12.14,12.14,8,09.09.2023,,,,,,,A,KM14,M,27,9,11.09.2023,1,"53
106","14.09.2023
29.09.2023","REP
ACC",3,28.09.2023,2,03.10.2023,14,19.10.2023,
,L12306372,A262733,B1E00178,9.53,12.14,12.14,8,09.09.2023,,,,,,,A,KM14,M,28,9,11.09.2023,1,53,14.09.2023,ACC,,,,,14,19.10.2023,
,L12306110,A262738,B1E00223,9.53,12.13,12.13,8,09.09.2023,,,,,,,A,KM14,M,29,9,11.09.2023,1,53,14.09.2023,ACC,,,,,14,19.10.2023,
,L12306070,A162727,B1E00242,9.53,12.13,12.13,8,09.09.2023,,,,,,,A,KM14,M,30,9,11.09.2023,1,"53
106","14.09.2023
29.09.203","REP
ACC",3,28.09.2023,2,03.10.2023,13,17.10.2023,
,L12306949,A161013,B1E00480,9.53,11.64,11.64,8,09.09.2023,,,,,,,A,KM14,M,31,9,11.09.2023,1,54,14.09.2023,ACC,,,,,13,17.10.2023,
,L12306119,A162727,B1E00227,9.53,12.14,12.14,8,09.09.2023,,,,,,,A,KM14,M,32,9,11.09.2023,1,54,14.09.2023,ACC,,,,,13,17.10.2023,
,L12306545,A162732,B1E01228,9.53,12.14,12.14,8,09.09.2023,,,,,,,A,KM14,M,33,9,11.09.2023,1,54,14.09.2023,ACC,,,,,13,17.10.2023,
,L12306153,A262738,B1E00095,9.53,12.14,12.14,8,09.09.2023,,,,,,,A,KM14,M,34,9,11.09.2023,1,54,14.09.2023,ACC,,,,,13,17.10.2023,
,L12306203,A161011,B1E00083,9.53,11.79,11.79,8,09.09.2023,,,,,,,A,KM14,M,35,9,11.09.2023,1,"54
106","14.09.2023
29.09.2023","REP
ACC",3,28.09.2023,2,03.10.2023,13,17.10.2023,
,L12307087,A261020,B1E00408,9.53,11.87,11.87,8,09.09.2023,,,,,,,A,KM14,M,36,9,11.09.2023,1,"55
106","14.09.2023
29.09.2023","REP
ACC",3,28.09.2023,2,03.10.2023,13,17.10.2023,
,L12306283,A262737,B1E00189,9.53,12.13,12.13,8,09.09.2023,,,,,,,A,KM14,M,37,9,11.09.2023,1,55,14.09.2023,ACC,,,,,13,17.10.2023,
,L12306124,A162734,B1E00221,9.53,12.14,12.14,8,09.09.2023,,,,,,,A,KM14,M,38,9,11.09.2023,1,55,14.09.2023,ACC,,,,,13,17.10.2023,
,L12305936,A262728,B1E00379,9.53,12.14,12.14,8,09.09.2023,,,,,,,A,KM14,M,39,9,11.09.2023,1,"55
107","14.09.2023
29.09.2023","REP
ACC",3,28.09.2023,2,03.10.2023,13,17.10.2023,
,L12306354,A262737,B1E00169,9.53,12.14,12.14,8,09.09.2023,,,,,,,A,KM14,M,40,9,11.09.2023,1,55,14.09.2023,ACC,,,,,13,17.10.2023,
,L12307169,A261016,B1E00889,9.53,11.83,11.83,8,09.09.2023,,,,,,,A,KM14,M,41,9,11.09.2023,1,56,14.09.2023,ACC,,,,,13,17.10.2023,
,L12307100,A261020,B1E00393,9.53,11.96,11.96,8,09.09.2023,,,,,,,A,KM14,M,42,9,11.09.2023,1,56,14.09.2023,ACC,,,,,8,04.10.2023,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L12306161,A162730,B1E00220,9.53,11.77,11.77,8,09.09.2023,,,,,,,,,,,,,,,,,,,,,,,
,L12306250,A262735,B1E00146,9.53,12.13,12.13,7,04.09.2023,,,,,,,A,KM14,M,45,9,11.09.2023,1,"46
107","10.09.2023
29.09.2023","REP
ACC",3,28.09.2023,2,03.10.2023,12,12.10.2023,
,L12306209,A161015,B1E00148,9.53,11.69,11.69,7,04.09.2023,,,,,,,A,KM14,M,46,8,09.09.2023,1,46,10.09.2023,ACC,,,,,8,04.10.2023,
,L12306261,A262737,B1E00069,9.53,12.14,12.14,7,04.09.2023,,,,,,,A,KM14,M,47,8,09.09.2023,1,"46
107","10.09.2023
29.09.2023","REP
ACC",3,28.09.2023,2,03.10.2023,12,12.10.2023,
,L12305772,A262740,B1E00034,9.53,12.14,12.14,7,04.09.2023,,,,,,,A,KM14,M,48,8,09.09.2023,1,46,10.09.2023,ACC,,,,,8,04.10.2023,
,L12305855,A162736,B1E00022,9.53,12.13,12.13,7,04.09.2023,,,,,,,A,KM14,M,49,8,09.09.2023,1,46,10.09.2023,ACC,,,,,8,04.10.2023,
,L12306022,A262731,B1E00073,9.53,11.99,11.99,7,04.09.2023,,,,,,,A,KM14,M,50,8,09.09.2023,1,"47
107","10.09.2023
29.09.2023","REP
ACC",3,28.09.2023,2,03.10.2023,8,04.10.2023,
,L12307658,A161005,B1E02388,9.53,11.78,11.78,7,04.09.2023,,,,,,,A,KM14,M,51,8,09.09.2023,1,47,10.09.2023,ACC,,,,,8,04.10.2023,
,L12306221,A161015,B1E00077,9.53,11.75,11.75,7,04.09.2023,,,,,,,A,KM14,M,52,8,09.09.2023,1,47,10.09.2023,ACC,,,,,8,04.10.2023,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14648,L12305919,A162724,B1E00046,9.53,12.14,12.14,7,04.09.2023,,,,,,,,,,,,,,,,,,,,,,,
14660.14,L12305714,A162730,B1E00005,9.53,12.14,12.14,7,04.09.2023,,,,,,,A,KM14,M,55,7,05.09.2023,1,33,07.09.2023,ACC,,,,,8,04.10.2023,
14672.28,L12305854,A162736,B1E00020,9.53,12.14,12.14,7,04.09.2023,,,,,,,A,KM14,M,56,7,05.09.2023,1,"33
107","07.09.2023
29.09.2023","REP
ACC",3,28.09.2023,2,03.10.2023,12,12.10.2023,
14684.42,L12307004,A161015,B1E00473,9.53,11.67,11.67,7,04.09.2023,,,,,,,A,KM14,M,57,7,05.09.2023,1,33,07.09.2023,ACC,,,,,8,04.10.2023,
14696.09,L12307033,A261020,B1E00484,9.53,11.96,11.96,7,04.09.2023,,,,,,,A,KM14,M,58,7,05.09.2023,1,33,07.09.2023,ACC,,,,,8,04.10.2023,
14708.05,L12307006,A161015,B1E00485,9.53,11.87,11.87,7,04.09.2023,,,,,,,A,KM14,M,59,7,05.09.2023,1,"33
93","07.09.2023
26.09.2023","REP
ACC",2,25.09.2023,2,03.10.2023,12,12.10.2023,
14719.92,L12306289,A162730,B1E00140,9.53,12.14,12.14,6,03.09.2023,,,,,,,A,KM14,M,60,7,05.09.2023,1,"34
93","07.09.2023
26.09.2023","REP
ACC",2,25.09.2023,2,03.10.2023,12,12.10.2023,
14732.06,L12306291,A162730,B1E00141,9.53,12.13,12.13,6,03.09.2023,,,,,,,A,KM14,M,61,6,04.09.2023,1,34,07.09.2023,ACC,,,,,8,04.10.2023,
14744.19,L12306007,A162724,B1E00360,9.53,12.13,12.13,6,03.09.2023,,,,,,,A,KM14,M,62,6,04.09.2023,1,34,07.09.2023,ACC,,,,,7,01.10.2023,
14756.32,L12306294,A262726,B1E00138,9.53,12.13,12.13,6,03.09.2023,,,,,,,A,KM14,M,63,6,04.09.2023,1,34,07.09.2023,ACC,,,,,7,01.10.2023,
14768.45,L12305711,A262728,B1E00018,9.53,11.75,11.75,6,03.09.2023,,,,,,,A,KM14,M,64,6,04.09.2023,1,34,07.09.2023,ACC,,,,,7,01.10.2023,
14780.2,L12306998,A161015,B1E00492,9.53,11.78,11.78,6,03.09.2023,,,,,,,A,KM14,M,65,6,04.09.2023,1,"35
93","07.09.2023
26.09.2023","REP
ACC",2,25.09.2023,2,03.10.2023,12,12.10.2023,
14791.98,L12306275,A262726,B1E00067,9.53,12.14,12.14,6,03.09.2023,,,,,,,A,KM14,M,66,6,04.09.2023,1,35,07.09.2023,ACC,,,,,7,01.10.2023,
14804.12,L12305949,A262740,B1E00349,9.53,12.14,12.14,6,03.09.2023,,,,,,,A,KM14,M,67,6,04.09.2023,1,"35
93","07.09.2023
26.09.2023","REP
ACC",2,25.09.2023,2,03.10.2023,12,12.10.2023,
14816.26,L12306325,A162734,B1E00362,9.53,12.13,12.13,6,03.09.2023,,,,,,,A,KM14,M,68,6,04.09.2023,1,35,07.09.2023,ACC,,,,,7,01.10.2023,
14828.39,L12306342,A262738,B1E00190,9.53,12.14,12.14,6,03.09.2023,,,,,,,A,KM14,M,69,6,04.09.2023,1,"35
93
108","07.09.2023
26.09.2023
29.09.2023","REP
ACC
ACC","2
03","25.09.2023
28.09.2023",2,03.10.2023,12,12.10.2023,
14840.53,L12305963,A161011,B1E00376,9.53,11.94,11.94,6,03.09.2023,,,,,,,A,KM14,M,70,6,04.09.2023,1,36,07.09.2023,ACC,,,,,7,01.10.2023,
14852.47,L12305676,A262735,B1E00368,9.53,11.74,11.74,6,03.09.2023,,,,,,,A,KM14,M,71,6,04.09.2023,1,39,09.09.2023,ACC,,,,,12,12.10.2023,
14864.21,L12305668,A162729,B1E00019,9.53,12.13,12.13,6,03.09.2023,,,,,,,A,KM14,M,72,6,04.09.2023,1,"39
94","09.09.2023
26.09.2023","REP
ACC",2,25.09.2023,2,03.10.2023,12,12.10.2023,
14876.34,L12305966,A262733,B1E00358,9.53,12.14,12.14,5,02.09.2023,,,,,,,A,KM14,M,73,6,04.09.2023,1,39,09.09.2023,ACC,,,,,12,12.10.2023,
14888.48,L12305911,A262728,B1E00375,9.53,12.13,12.13,5,02.09.2023,,,,,,,A,KM14,M,74,5,03.09.2023,1,39,09.09.2023,ACC,,,,,12,12.10.2023,
14900.61,L12305972,A262737,B1E00347,9.53,12.14,12.14,5,02.09.2023,,,,,,,A,KM14,M,75,5,03.09.2023,1,36,07.09.2023,ACC,,,,,6,29.09.2023,
14912.75,L12306038,A162724,B1E00278,9.53,12.13,12.13,5,02.09.2023,,,,,,,A,KM14,M,76,5,03.09.2023,1,36,07.09.2023,ACC,,,,,6,29.09.2023,
14924.88,L12305906,A162729,B1E00027,9.53,12.14,12.14,5,02.09.2023,,,,,,,A,KM14,M,77,5,03.09.2023,1,36,07.09.2023,ACC,,,,,6,29.09.2023,
14937.02,L12306208,A161015,B1E00132,9.53,11.75,11.75,5,02.09.2023,,,,,,,A,KM14,M,78,5,03.09.2023,1,36,07.09.2023,ACC,,,,,6,29.09.2023,
14948.77,L12306768,A262728,B1E01580,9.53,12.14,12.14,55,28.01.2024,5,27.01.2024,6,HL,,,A,KM14,FT,79,45,29.01.2024,2,286,29.01.2024,ACC,,,,,37,01.02.2024,
14960.91,L12307074,A161015,B1E00464,9.53,11.86,11.86,5,02.09.2023,,,,,,,A,KM14,FT,80,46,30.01.2024,2,289,30.01.2024,ACC,,,,,37,01.02.2024,
14972.77,L12307030,A261008,B1E00461,9.53,11.97,11.97,5,02.09.2023,,,,,,,A,KM14,M,81,5,03.09.2023,1,26,06.09.2023,ACC,,,,,6,29.09.2023,
14984.74,L12305792,A262723,B1E00035,9.53,12.14,12.14,4,01.09.2023,,,,,,,A,KM14,M,82,5,03.09.2023,1,26,06.09.2023,ACC,,,,,6,29.09.2023,
14996.88,L12305862,A162736,B1E00023,9.53,12.13,12.13,4,01.09.2023,,,,,,,A,KM14,M,83,5,02.09.2023,1,26,06.09.2023,ACC,,,,,6,29.09.2023,
15009.01,L12306384,A262740,B1E00175,9.53,12.14,12.14,4,01.09.2023,,,,,,,A,KM15,M,1,5,02.09.2023,1,26,06.09.2023,ACC,,,,,6,29.09.2023,
15021.15,L12305873,A262735,B1E00160,9.53,12.14,12.14,4,01.09.2023,,,,,,,A,KM15,M,2,5,02.09.2023,1,26,06.09.2023,ACC,,,,,6,29.09.2023,
15033.29,L12306004,A262733,B1E00361,9.53,12.14,12.14,4,01.09.2023,,,,,,,A,KM15,M,3,5,02.09.2023,1,27,06.09.2023,ACC,,,,,5,28.09.2023,
15045.43,L12305782,A262723,B1E00373,9.53,12.13,12.13,4,01.09.2023,,,,,,,A,KM15,M,4,5,02.09.2023,1,27,06.09.2023,ACC,,,,,5,28.09.2023,
15057.56,L12305843,A262740,B1E00002,9.53,12.14,12.14,4,01.09.2023,,,,,,,A,KM15,M,5,5,02.09.2023,1,"27
83","06.09.2023
23.09.2023","REP
ACC",1,21.09.2023,2,03.10.2023,11,11.10.2023,
15069.7,L12305803,A262723,B1E00030,9.53,12.14,12.14,4,01.09.2023,,,,,,,A,KM15,M,6,5,02.09.2023,1,"27
118","06.09.2023
04.10.2023","REP
ACC",4,02.10.2023,3,05.10.2023,11,11.10.2023,
15081.84,L12306196,A161011,B1E00184,9.53,11.71,11.71,4,01.09.2023,,,,,,,A,KM15,M,7,5,02.09.2023,1,27,06.09.2023,ACC,,,,,5,28.09.2023,
15093.55,L12305748,A162727,B1E00039,9.53,12.14,12.14,4,01.09.2023,,,,,,,A,KM15,M,8,5,02.09.2023,1,"28
83","06.09.2023
23.09.2023","REP
ACC",1,21.09.2023,1,30.09.2023,11,11.10.2023,
15105.69,L12305841,A262740,B1E00038,9.53,12.13,12.13,4,01.09.2023,,,,,,,A,KM15,M,9,5,02.09.2023,1,"21
83","03.09.2023
23.09.2023","REP
ACC",1,21.09.2023,1,30.09.2023,11,11.10.2023,
15117.82,L12305784,A262723,B1E00033,9.53,12.14,12.14,4,01.09.2023,,,,,,,A,KM15,M,10,5,02.09.2023,1,21,03.09.2023,ACC,,,,,5,28.09.2023,
15129.96,L12305771,A262740,B1E00031,9.53,12.14,12.14,4,01.09.2023,,,,,,,A,KM15,M,11,5,02.09.2023,1,21,03.09.2023,ACC,,,,,5,28.09.2023,
15142.1,L12305828,A162732,B1E00377,9.53,12.13,12.13,4,01.09.2023,,,,,,,A,KM15,M,12,5,02.09.2023,1,21,03.09.2023,ACC,,,,,5,28.09.2023,
15154.23,L12306343,A262738,B1E00191,9.53,12.14,12.14,4,01.09.2023,,,,,,,A,KM15,M,13,5,02.09.2023,1,21,03.09.2023,ACC,,,,,5,28.09.2023,
15166.37,L12305852,A262740,B1E00012,9.53,12.14,12.14,3,31.08.2023,,,,,,,A,KM15,M,14,5,02.09.2023,1,22,03.09.2023,ACC,,,,,5,28.09.2023,
15178.51,L12305660,A162724,B1E00006,9.53,11.75,11.75,3,31.08.2023,,,,,,,A,KM15,M,15,3,01.09.2023,1,22,03.09.2023,ACC,,,,,5,28.09.2023,
15190.26,L12305908,A162727,B1E00374,9.53,12.13,12.13,3,31.08.2023,,,,,,,A,KM15,M,16,3,01.09.2023,1,"22
118","03.09.2023
04.10.2023","REP
ACC",4,02.10.2023,3,05.10.2023,11,11.10.2023,
15202.39,L12305935,A162734,B1E00365,9.53,12.14,12.14,3,31.08.2023,,,,,,,A,KM15,M,17,3,01.09.2023,1,"22
83","03.09.2023
23.09.2023","REP
ACC",1,21.09.2023,1,30.09.2023,11,11.10.2023,
15214.53,L12305755,A162729,B1E00371,9.53,12.14,12.14,3,31.08.2023,,,,,,,A,KM15,M,18,3,01.09.2023,1,"22
83","03.09.2023
23.09.2023","REP
ACC",1,21.09.2023,1,30.09.2023,11,11.10.2023,
15226.67,L12305859,A162736,B1E00318,9.53,12.13,12.13,3,31.08.2023,,,,,,,A,KM15,M,19,3,01.09.2023,1,"23
84","03.09.2023
23.09.2023","REP
ACC",1,21.09.2023,1,30.09.2023,11,11.10.2023,
15238.8,L12306355,A162730,B1E00179,9.53,12.14,12.14,3,31.08.2023,,,,,,,A,KM15,M,20,3,01.09.2023,1,"23
84","03.09.2023
23.09.2023","REP
ACC",1,21.09.2023,1,30.09.2023,11,11.10.2023,
15250.94,L12306288,A162734,B1E00187,9.53,12.14,12.14,3,31.08.2023,,,,,,,A,KM15,M,21,3,01.09.2023,1,23,03.09.2023,ACC,,,,,11,11.10.2023,
15263.08,L12306253,A162736,B1E00133,9.53,12.14,12.14,3,31.08.2023,,,,,,,A,KM15,M,22,3,01.09.2023,1,23,03.09.2023,ACC,,,,,11,11.10.2023,
15275.22,L12307034,A261020,B1E00499,9.53,11.96,11.96,3,31.08.2023,,,,,,,A,KM15,M,23,3,01.09.2023,1,23,03.09.2023,ACC,,,,,11,11.10.2023,
15287.18,L12306267,A262737,B1E00058,9.53,12.14,12.14,3,31.08.2023,,,,,,,A,KM15,M,24,3,01.09.2023,1,"24
84","03.09.2023
23.09.2023","REP
ACC",1,21.09.2023,1,30.09.2023,11,11.10.2023,
15299.32,L12306350,A262738,B1E00182,9.53,12.14,12.14,3,31.08.2023,,,,,,,A,KM15,M,25,3,01.09.2023,1,24,03.09.2023,ACC,,,,,11,11.10.2023,
15311.46,L12306140,A262738,B1E00050,9.53,12.1,12.1,3,31.08.2023,,,,,,,A,KM15,M,26,3,01.09.2023,1,24,03.09.2023,ACC,,,,,11,11.10.2023,
15323.56,L12308077,A161013,B1E02027,9.53,11.91,11.91,3,31.08.2023,,,,,,,A,KM15,M,27,3,01.09.2023,1,"24
118","03.09.2023
04.10.2023","REP
ACC",4,02.10.2023,3,05.10.2023,11,11.10.2023,
15335.47,L12308105,A261020,B1E02025,9.53,11.96,11.96,2,30.08.2023,,,,,,,A,KM15,M,28,3,01.09.2023,1,24,03.09.2023,ACC,,,,,4,25.09.2023,
15347.43,L12308079,A161011,B1E02024,9.53,11.85,11.85,2,30.08.2023,,,,,,,A,KM15,M,29,2,31.08.2023,1,"25
84","03.09.2023
23.09.2023","REP
ACC",1,21.09.2023,1,30.09.2023,11,11.10.2023,
15359.28,L12307003,A161015,B1E00500,9.53,11.96,11.96,2,30.08.2023,,,,,,,A,KM15,M,30,2,31.08.2023,1,"28
84","06.09.2023
23.09.2023","REP
ACC",1,21.09.2023,1,30.09.2023,11,11.10.2023,
15371.24,L12307112,A261020,B1E00384,9.53,11.96,11.96,2,30.08.2023,,,,,,,A,KM15,M,31,2,31.08.2023,1,28,06.09.2023,ACC,,,,,4,25.09.2023,
15383.2,L12306346,A162727,B1E00173,9.53,12.13,12.13,2,30.08.2023,,,,,,,A,KM15,M,32,2,31.08.2023,1,28,06.09.2023,ACC,,,,,4,25.09.2023,
15395.33,L12308088,A161013,B1E02030,9.53,11.91,11.91,2,30.08.2023,,,,,,,A,KM15,M,33,2,31.08.2023,1,28,06.09.2023,ACC,,,,,4,25.09.2023,
15407.24,L12307114,A261020,B1E00398,9.53,11.88,11.88,2,30.08.2023,,,,,,,A,KM15,M,34,2,31.08.2023,1,29,06.09.2023,ACC,,,,,10,09.10.2023,
15419.12,L12307070,A161013,B1E00462,9.53,11.78,11.78,2,30.08.2023,,,,,,,A,KM15,M,35,2,31.08.2023,1,"29
118","06.09.2023
04.10.2023","REP
ACC",4,02.10.2023,3,05.10.2023,10,09.10.2023,
15430.9,L12305829,A162727,B1E00007,9.53,12.14,12.14,2,30.08.2023,,,,,,,A,KM15,M,36,2,31.08.2023,1,29,06.09.2023,ACC,,,,,10,09.10.2023,
15443.04,L12306176,A262738,B1E00131,9.53,11.98,11.98,11,20.09.2023,,,,,,,A,KM15,M,37,14,23.09.2023,1,99,27.09.2023,ACC,,,,,10,09.10.2023,
15455.02,L12306358,A262740,B1E00181,9.53,12.14,12.14,12,23.09.2023,,,,,,,A,KM15,M,38,15,24.09.2023,1,99,27.09.2023,ACC,,,,,10,09.10.2023,
15467.16,L12305793,A262735,B1E00021,9.53,12.14,12.14,12,23.09.2023,,,,,,,A,KM15,M,39,15,24.09.2023,1,99,27.09.2023,ACC,,,,,10,09.10.2023,
15479.3,L12305821,A162727,B1E00302,9.53,12.14,12.14,12,23.09.2023,,,,,,,A,KM15,M,40,15,24.09.2023,1,99,27.09.2023,ACC,,,,,10,09.10.2023,
15491.44,L12305732,A262738,B1E00010,9.53,12.14,12.14,12,23.09.2023,,,,,,,A,KM15,M,41,16,25.09.2023,1,99,27.09.2023,ACC,,,,,10,09.10.2023,
15503.58,L12305744,A262728,B1E00017,9.53,12.13,12.13,2,30.08.2023,,,,,,,A,KM15,FT,42,1,25.09.2023,2,100,27.09.2023,ACC,,,,,10,09.10.2023,
15515.71,L12306471,A262731,B1E00049,9.53,12.14,12.14,2,30.08.2023,,,,,,,A,KM15,M,43,2,31.08.2023,1,"37
118","07.09.2023
04.10.2023","REP
ACC",4,02.10.2023,3,05.10.2023,10,09.10.2023,
15527.85,L12306230,A262726,B1E00059,9.53,12.14,12.14,2,30.08.2023,,,,,,,A,KM15,M,44,2,31.08.2023,1,37,07.09.2023,ACC,,,,,3,23.09.2023,
15539.99,L12305832,A262735,B1E00040,9.53,12.13,12.13,2,30.08.2023,,,,,,,A,KM15,M,45,2,31.08.2023,1,37,07.09.2023,ACC,,,,,3,23.09.2023,
15552.12,L12306427,A262726,B1E00054,9.53,12.14,12.14,1,29.08.2023,,,,,,,A,KM15,M,46,2,31.08.2023,1,37,07.09.2023,ACC,,,,,3,23.09.2023,
15564.26,L12305818,A162732,B1E00338,9.53,12.13,12.13,1,29.08.2023,,,,,,,A,KM15,M,47,1,30.08.2023,1,37,07.09.2023,ACC,,,,,3,23.09.2023,
15576.39,L12305850,A162730,B1E00341,9.53,12.09,12.09,1,29.08.2023,,,,,,,A,KM15,M,48,1,30.08.2023,1,38,07.09.2023,ACC,,,,,3,23.09.2023,
15588.48,L12306438,A162734,B1E00055,9.53,12.14,12.14,1,29.08.2023,,,,,,,A,KM15,M,49,1,30.08.2023,1,38,07.09.2023,ACC,,,,,3,23.09.2023,
15600.62,L12306410(A),A262728,B1E00051,9.53,12.14,3.27,14,24.09.2023,,,,,,,A,KM15,FT,49A,13,30.10.2023,2,182,02.11.2023,ACC,,,6,29.10.2023,21,08.11.2023,
15603.885,L12307117,A261020,B1E00383,9.53,11.89,11.89,13,25.09.2023,,,,,,,A,KM15,T,50,13,30.10.2023,2,182,02.11.2023,ACC,,,7,02.11.2023,21,08.11.2023,
15615.775,L12305953,A162724,B1E00188,9.53,12.14,12.14,13,25.09.2023,,,,,,,A,KM15,M,51,17,26.09.2023,1,100,27.09.2023,ACC,,,,,10,09.10.2023,
15627.915,L12305760,A162732,B1E00025,9.53,12.14,12.14,1,29.08.2023,,,,,,,A,KM15,FT,52,12,23.10.2023,2,163,23.10.2023,ACC,,,,,17,25.10.2023,
15640.055,L12308092,A161013,B1E02029,9.53,11.92,11.92,1,29.08.2023,,,,,,,A,KM15,M,53,1,30.08.2023,1,12,01.09.2023,ACC,,,,,3,23.09.2023,
15651.975,L12305794,A262735,B1E00042,9.53,12.14,12.14,1,29.08.2023,,,,,,,A,KM15,M,54,1,30.08.2023,1,12,01.09.2023,ACC,,,,,3,23.09.2023,
15664.115,L12305914,A262740,B1E00458,9.53,12.13,12.13,1,29.08.2023,,,,,,,A,KM15,M,55,1,30.08.2023,1,12,01.09.2023,ACC,,,,,2,20.09.2023,
