s_no,work_order_no,work_order_date,work_order_period,contractor_name,vendor_no,name_of_the_work,work_order_value_no_gst,time_extension_provided,time_extension_provided_till
1,28866836,19.05.2023,12 months,Ace Pipeline contracts Pvt Ltd,18812633,Laying CCCPL mainline works,805000000,No,NA
2,28833836,09.05.2023,12 months,NRP,19955055,Group-B HDD,155000000,No,NA
